simulation_rank,rank,return_method,covariance_method,objective,oos_return,oos_volatility,oos_sharpe,oos_sortino,max_drawdown,tail_loss,turnover,effective_holdings,score,simulated_return,probability_of_loss,var_95,cvar_95,combined_score
30,37,CAPM,EWMA,Target Return,-0.13214799778399597,0.17172325085876813,-1.148056519999951,-1.6382844515454957,-0.29209194455102705,0.02462397768042158,0.9482353908398634,6.583211148034347,0.3877083333333333,-0.0017231296903777787,0.535,0.06120662376915222,0.0759423322645893,0.4716666666666666
31,26,Shrunk mean,Historical,Target Return,-0.10080418901387772,0.14435803677288409,-1.1485622326295175,-1.772626996487092,-0.2141165425359629,0.020227279581324257,0.5208177877933619,9.0,0.5097916666666666,-0.002313256292733288,0.54,0.08826590100846012,0.10905635320194826,0.4708333333333333
32,34,Shrunk mean,DCC-GARCH,Target Return,-0.10684674421293287,0.14483205177185643,-1.1865242680096169,-1.757950375906587,-0.2160682231952844,0.020381178713741385,0.6847176917552925,9.0,0.44520833333333326,-0.002048030902638211,0.535,0.07813568491374341,0.096705967451067,0.4691666666666667
33,35,Historical mean,DCC-GARCH,Target Return,-0.10684674424873551,0.144832051718507,-1.1865242686938786,-1.7579503776834395,-0.21606822299745498,0.02038117872178636,0.6847176850776163,9.0,0.4325,-0.002048030902638211,0.535,0.07813568491374341,0.096705967451067,0.4566666666666667
34,33,Historical mean,Historical,Target Return,-0.10080419242872793,0.1443580369085822,-1.1485622552052779,-1.7726270332348824,-0.21411654314108752,0.020227279589671597,0.5208177838206778,4.893155642263798,0.4660416666666667,-0.0020960067927197233,0.535,0.07996782227148529,0.09894284712779491,0.4466666666666667
35,41,Historical mean,EWMA,Target Return,-0.13079884505235248,0.1512178478899554,-1.2948130646247502,-1.9323850032283094,-0.2276555861435552,0.02114661986648845,0.8977598144420665,6.2356287785146085,0.28583333333333333,-0.0015256019306763618,0.535,0.05819195240198688,0.07226505377731736,0.43333333333333335
36,44,CAPM,EWMA,Minimum Variance,-0.13086013010114098,0.14617976116313738,-1.3398580524602175,-2.025331461310586,-0.2277858534628333,0.020077565718825543,0.6597554534616604,6.269671409013271,0.24458333333333335,-0.0007765304679538076,0.52,0.05748023342875798,0.07156267563040064,0.4270833333333333
37,40,EWMA mean,Historical,Maximum Sharpe,-0.13578770605343018,0.1713801917624011,-1.1715922592256123,-1.5374422844763487,-0.25715217765219955,0.02608426786595421,1.3005358027251803,2.904572457358855,0.3304166666666667,0.03576743485148203,0.295,0.0785639868409889,0.105607707397783,0.4158333333333333
38,42,Shrunk mean,EWMA,Target Return,-0.13079884632059616,0.15121784780422817,-1.2948130737456605,-1.9323850233462239,-0.22765558655712592,0.021146619798237898,0.8977598125302683,9.0,0.28291666666666665,-0.0016478976848130205,0.535,0.06285951963626694,0.07800010736166625,0.4075
39,45,Shrunk mean,EWMA,Minimum Variance,-0.13086013010114098,0.14617976116313738,-1.3398580524602175,-2.025331461310586,-0.2277858534628333,0.020077565718825543,0.6597554534616604,6.269671409013271,0.24458333333333335,-0.0015254634146451306,0.535,0.05818666610134475,0.07225855330177275,0.40291666666666665
40,24,EWMA mean,DCC-GARCH,Minimum Variance,-0.0944427791139056,0.13870788732597836,-1.1494860327531196,-1.7680603198340699,-0.21469775709716188,0.01895970734842659,0.4138544306386256,5.4962094265411325,0.5217708333333333,-0.03603337699540976,0.825,0.10339038497561455,0.11992421709247525,0.38416666666666666
41,46,Historical mean,EWMA,Minimum Variance,-0.13086013010114098,0.14617976116313738,-1.3398580524602175,-2.025331461310586,-0.2277858534628333,0.020077565718825543,0.6597554534616604,6.234912659191172,0.2419791666666667,-0.0015255062659234597,0.535,0.05818830146966463,0.07226056428811431,0.3775
42,32,Shrunk mean,Ledoit-Wolf,Maximum Sharpe,-0.11120010941616647,0.17980963066340977,-0.9799258736368797,-1.3982248119145555,-0.2644947006863877,0.02624992969639873,1.4577386196878956,2.7777777777777772,0.46687499999999993,-0.003103979935315496,0.555,0.11849503642571492,0.14565258726388422,0.2725
43,31,EWMA mean,Historical,Minimum Variance,-0.10024778554731748,0.13820340549401566,-1.1956853375402017,-1.8749841573264443,-0.20697406465234391,0.01883723212009457,0.14552959403638124,4.752365806705535,0.46927083333333336,-0.04042205414185851,0.825,0.11493039843547366,0.1330922161197341,0.265
44,43,EWMA mean,EWMA,Minimum Variance,-0.13086013010114098,0.14617976116313738,-1.3398580524602175,-2.025331461310586,-0.2277858534628333,0.020077565718825543,0.6597554534616604,6.269671450949694,0.24614583333333334,-0.023771380498101003,0.78,0.07917017701355834,0.09292854391437183,0.2525
45,39,EWMA mean,DCC-GARCH,Target Return,-0.11557490315092647,0.14025390177402222,-1.2874857730651206,-1.9780861887614822,-0.21401671147945733,0.019621442141982352,0.5835009066737772,5.554180387757024,0.3495833333333333,-0.035252874466474744,0.82,0.10266746930871556,0.11921539015264038,0.21166666666666667
46,38,EWMA mean,Ledoit-Wolf,Target Return,-0.11245797021120454,0.13955129819544643,-1.2716325287255195,-1.979644124205359,-0.21238238844675172,0.019247540734504884,0.4776488727325929,5.4407834292587784,0.36,-0.035508523615769706,0.8,0.11242956924735865,0.13114383509221705,0.19249999999999998
47,48,EWMA mean,EWMA,Target Return,-0.13779926092984277,0.14547711884007625,-1.394028576774201,-2.125100469124638,-0.23008505913200927,0.02021791974561301,0.6787593914857402,5.515407171419047,0.17520833333333335,-0.03492803194742721,0.86,0.09026776962051482,0.10400423685934412,0.12666666666666665
48,47,EWMA mean,Historical,Target Return,-0.13777449792968413,0.13891372956222833,-1.4597153108530463,-2.3077618384695193,-0.21007578616302192,0.019189535464004467,0.5299905219627168,5.028088340810657,0.23875,-0.0354572066284876,0.8,0.11046971975042132,0.12875239999450502,0.09499999999999999
